year,watershed,burnyr,gr,fire,Spring,BrLagOne,BrLagTwo
2021,2D,1,ungr,2,162.7,384.1,525.8
2021,C3A,0,cattle,3,162.7,384.1,525.8
2021,C3B,0,cattle,3,162.7,384.1,525.8
2021,C3C,1,cattle,3,162.7,384.1,525.8
2021,C3SA,0,cattle,3,162.7,384.1,525.8
2021,C3SB,0,cattle,3,162.7,384.1,525.8
2021,C3SC,1,cattle,3,162.7,384.1,525.8
2021,K1B,1,ungr,1,162.7,384.1,525.8
2021,K2A,0,ungr,2,162.7,384.1,525.8
2021,N1A,1,bison,1,162.7,384.1,525.8
2021,N1B,1,bison,1,162.7,384.1,525.8
2021,N2A,0,bison,2,162.7,384.1,525.8
2021,N2B,1,bison,2,162.7,384.1,525.8
